+ ============================================== TEST RESULTS ============================================= +
| CONFIGURATION | ACCURACY LOSS BEFORE RETRAIN | ACCURACY LOSS AFTER RETRAIN | SAVED BITS |
|       1       |            100.03%            |           99.57%           | 1410 |
|       2       |            112.82%            |           104.72%           | 1974 |
|       3       |            539.92%            |           155.28%           | 2538 |
|       4       |            100.20%            |           97.89%           | 1100 |
|       5       |            99.19%            |           99.85%           | 1540 |
|       6       |            487.10%            |           98.28%           | 1980 |
|       7       |            99.44%            |           100.32%           | 1850 |
|       8       |            488.43%            |           102.60%           | 2290 |
+ ====================================== ===== ===== ====================================== +


