+ ====================================== TEST RESULTS ===================================== +
| CONFIGURATION | ACCURACY LOSS BEFORE RETRAIN | ACCURACY LOSS AFTER RETRAIN | SAVED BITS |
|       1       |             0.08%            |           0.00%            |   2329248   |
|       2       |             0.32%            |           0.30%            |   2620404   |
|       3       |             0.57%            |           0.56%            |   2911560   |
|       4       |             0.05%            |           -0.11%            |   2290336   |
|       5       |             0.28%            |           0.12%            |   2576628   |
|       6       |             0.51%            |           0.05%            |   2862920   |
|       7       |             0.28%            |           0.23%            |   2615540   |
|       8       |             0.49%            |           0.49%            |   2906696   |
|       9       |             1.99%            |           1.98%            |   3054706   |
+ ====================================== ===== ===== ====================================== +


